序号,公司名称,注册资金,法定代表人,成立时间,经营状态,电话,邮箱,详细地址,统一社会信用代码,纳税人识别号,注册号,组织机构代码,公司类型,所属行业,所属地区,成立时间,曾经用名,企业类型,股东,历史股东,补充电话,备注
大连同心源房地产经纪有限公司,,,,,,,,,,,,,,,,,,,,,,
北京邦信阳知识产权服务有限公司,北京邦信阳知识产权服务有限公司,1000万人民币,刘金山,6095-04-08,在业,暂无信息,暂无信息,北京市朝阳区永安里东甲3号院1号楼5层0504号,91110105MA01ALMW1N,91110105MA01ALMW1N,-,MA01ALMW1,有限责任公司(自然人投资或控股),商务服务业,朝阳分局,6095-04-08,,有限责任公司(自然人投资或控股),张保国,,,
大连奥格窗业有限公司,大连奥格窗业有限公司,500万人民币,张洪利,6007-07-01,存续,13842606666,1121911151@qq.com,辽宁省大连市中山区上海路42号6层19号,91210200760756193P,91210200760756193P,210200000117541,760756193,有限责任公司(自然人独资),金属制品业,大连市工商行政管理局,6007-07-01,,有限责任公司(自然人独资),张洪利,,,
大连帝诚建筑工程有限公司,大连帝诚建筑工程有限公司,5000万人民币,郭昌华,9227-04-49,存续,87121888,dldcjs@163.com,辽宁省大连市金州区站前街道五一路162号1-6层,91210213241322756L,91210213241322756L,210241000037020,241322756,有限责任公司(自然人投资或控股的法人独资),房屋建筑业,大连金普新区市场监督管理局,9227-04-49,,有限责任公司(自然人投资或控股的法人独资),大连帝诚建设有限公司,,,
大连红太装饰工程有限公司,大连红太装饰工程有限公司,1000万人民币,赵文广,9226-96-95,存续,83786882,183031878@qq.com,辽宁省大连市金州区光明街道南山村胜利路３３５号,91210213241156858F,91210213241156858F,210213000036832,241156858,有限责任公司(自然人投资或控股),建筑装饰和其他建筑业,大连金普新区市场监督管理局,9226-96-95,,有限责任公司(自然人投资或控股),赵文广,,,
大连鸿广铝塑门窗有限公司,大连鸿广铝塑门窗有限公司,2000万人民币,关宝生,6008-01-02,存续,0411-66007008,hongguang777@163.com,辽宁省大连市甘井子区辛寨子镇砬子山村,9121021178731132XC,9121021178731132XC,210200000208549,78731132X,有限责任公司(自然人投资或控股),金属制品业,大连市甘井子区市场监督管理局,6008-01-02,,有限责任公司(自然人投资或控股),关宝生,,,
大连金沙防火构件有限公司,大连金沙防火构件有限公司,890万人民币,姜谦,9252-99-98,存续,87231353,524454278@qq.com,辽宁省大连市金州区登沙河镇白家村,91210213118674908P,91210213118674908P,210213000019705,118674908,有限责任公司(自然人投资或控股),专用设备制造业,大连金普新区市场监督管理局,9252-99-98,,有限责任公司(自然人投资或控股),姜廷魁,,,
大连理工现代工程检测有限公司,大连理工现代工程检测有限公司,500万人民币,司炳君,9228-09-61,存续,84707720,dgjc@dlutmet.com,辽宁省大连高新技术产业园区软件园路80号大连理工大学科技园B座701/702/703/704/705/709/710号,91210231241704818P,91210231241704818P,210231000021182,241704818,其他有限责任公司,专业技术服务业,大连高新技术产业园区市场监督管理局,9228-09-61,,其他有限责任公司,大连理工大学产业投资有限公司,,,
大连市古建筑园林工程有限公司,大连市古建筑园林工程有限公司,1500万人民币,徐德凝,6009-96-67,存续,0411-39613188,dlgujianzhu@163.com,,9.12102817478929E+017,9.12102817478929E+017,210200000029007,747892924,有限责任公司(自然人投资或控股),土木工程建筑业,瓦房店市市场监督管理局,6009-96-67,,有限责任公司(自然人投资或控股),徐德凝,,,
大连通信装修工程有限公司,大连通信装修工程有限公司,1200万人民币,姚礼贵,9224-06-95,存续,13591732278,50308285@qq.com,辽宁省大连市西岗区鞍山路10-3号4层6号,91210200241240232D,91210200241240232D,210200000136901,241240232,有限责任公司(自然人投资或控股),建筑装饰和其他建筑业,大连市西岗区市场监督管理局,9224-06-95,,有限责任公司(自然人投资或控股),姚礼贵,,,
大连益安金房子科技有限公司,大连益安金房子科技有限公司,550万人民币,张永鹏,6099-08-60,存续,85261366,1312246923@qq.com,,91210246576061287F,91210246576061287F,210246000006647,576061287,有限责任公司(自然人投资或控股),金属制品业,大连金普新区市场监督管理局,6099-08-60,,有限责任公司(自然人投资或控股),张永鹏,,,
广西广路科技有限公司,广西广路科技有限公司,200万人民币,何金增,6003-03-60,存续,13768306767,416216700@qq.com,南宁市青秀区怡宾路10号紫荆花园6栋4层6131号房,91450103664812386K,91450103664812386K,450100200077374,664812386,有限责任公司(自然人独资),专业技术服务业,南宁市青秀区工商行政管理和质量技术监督局,6003-03-60,,有限责任公司(自然人独资),何金增,,,
利达装饰集团有限公司,利达装饰集团有限公司,11180万人民币,龚斐,9226-02-66,存续,18970891972,jxldgs@126.com,江西省南昌市南昌县江西省千亿建筑科技产业园A区,91360000705503003T,91360000705503003T,360000110003097,705503003,有限责任公司(自然人投资或控股),建筑装饰和其他建筑业,江西省工商行政管理局,9226-02-66,,有限责任公司(自然人投资或控股),龚龙彪,,,
宁波仙子谷渔文化发展有限公司,宁波仙子谷渔文化发展有限公司,100万人民币,覃棣,6098-02-06,存续,15658279313,暂无信息,浙江省宁波市海曙区机场路1000号1号楼287室,91330203MA282K9C92,91330203MA282K9C92,330203000290953,MA282K9C9,有限责任公司(自然人独资),文化艺术业,宁波市海曙区市场监督管理局,6098-02-06,,有限责任公司(自然人独资),覃棣,,,
沈阳繁荣金晨标识标牌有限公司,沈阳繁荣金晨标识标牌有限公司,500万人民币,徐兰英,6099-02-65,存续,13940273745,739328336@qq.com,,91210106583852917G,91210106583852917G,210106000081250,583852917,有限责任公司(自然人投资或控股),批发业,沈阳市铁西区市场监督管理局,6099-02-65,,有限责任公司(自然人投资或控股),徐兰英,,,
四川江能电力有限公司,四川江能电力有限公司,2000万人民币,姜艺娟,6008-07-90,存续,028-85130660,sichuanjp@126.com,成都市武侯区长华路19号3栋24层2409、2410号,91510000786667957W,91510000786667957W,510000000054007,786667957,有限责任公司(自然人投资或控股),土木工程建筑业,武侯区市场和质量监督管理局,6008-07-90,,有限责任公司(自然人投资或控股),姜艺娟,,,
